Country,Year,GDP growth (annual %),Labor force,Gross capital formation (% of GDP),Industry (% of GDP),Industry (% of employment),Manufacturing (% of GDP),Manufacturing (% of employment),Services (% of GDP),Services (% of employment),Agriculture (% of GDP),Agriculture (% of employment),Trade (% of GDP),Broad money (% of GDP),Political stability
Kenya,2009,3.306939816310887,16792371.0,19.019172424825424,18.38662466777505,12.68872,11.492953137125486,8.564031410365606,58.41441158710262,46.33784048798408,16.254981466228603,40.97344578492697,45.945191812780514,31.87356116251837,-1.42558062076569
Kenya,2010,8.05847360290906,17354366.0,21.263998799209478,18.574672770685147,12.90949,11.160375024669019,8.407768588786796,56.99824606755003,46.95808799186075,17.56775988636964,40.13243012638879,50.394287350283385,35.51043039898905,-1.16552352905273
Kenya,2011,5.121106119705601,17926485.0,21.8858122759467,19.662900833486685,13.05486,12.047767286788705,8.247570268211977,55.213892373695316,47.5069630508953,18.894711224995277,39.43817932886652,58.40220597456249,36.56943571578186,-1.24479079246521
Kenya,2012,4.56867961444982,18509902.0,22.193362925882347,19.26155255788996,13.2054,11.083340273129396,8.074869667384013,55.64971069965521,48.095236215198554,18.82972593294458,38.699365765482426,51.62369202324807,36.526519545731226,-1.32344126701355
Kenya,2013,3.7978483925754034,19107609.0,22.404968103986164,19.080259114397506,13.35566,10.909016625239442,7.899178890596377,56.08070834342185,48.635080392800226,18.61655158546215,38.009256197207584,47.46464251273036,37.79339192818963,-1.16693091392517
Kenya,2014,5.020111002324839,19718332.0,24.950718998773283,19.036032802367153,13.57885,10.065033432797536,7.724071071164188,56.95484636070112,49.157694356262894,18.347839339355595,37.26346519584931,46.17048936221598,42.30125690252831,-1.28224718570709
Kenya,2015,4.96772112759767,20338656.0,22.103398202029336,18.89404569836049,13.80015,9.975179818128655,7.548561737550176,56.13137802922207,49.61017306402373,19.469614778052783,36.58967223102822,40.3273846919019,42.819385779409345,-1.24440562725067
Kenya,2016,4.213517068147439,20989035.0,19.348435830933212,18.162159286516417,14.0307,9.321491101470833,7.372098554131365,56.44650874683174,50.10103020430737,20.03451643283491,35.8682703325246,34.86501957318242,40.32761162423006,-1.3547910451889
Kenya,2017,3.837958173647209,21588086.0,20.663494902277343,17.503509207869115,14.29239,8.739141730505096,7.1941425018429275,55.85410606790017,50.53134493403631,20.893637406529177,35.17625893028699,35.99505787540744,39.35198929410404,-1.13192212581635
Kenya,2018,5.647946407092192,22178699.0,19.3759862497025,17.313146131064,14.6807,8.408385291832484,7.033531592120365,56.018950983088665,51.01641334889971,20.314910419967994,34.30287929318075,34.41475317674248,39.359832340854105,-1.18409061431885
